iter	Passed	Remaining
578	42453	30868
579	42538	30803
580	42614	30732
581	42686	30657
582	42758	30583
583	42823	30504
584	42892	30427
585	42956	30348
586	43028	30273
587	43095	30196
588	43164	30120
589	43242	30049
590	43324	29982
591	43399	29910
592	43489	29848
593	43573	29782
594	43649	29710
595	43716	29633
596	43789	29559
597	43861	29485
598	43934	29411
599	44003	29335
600	44076	29261
601	44155	29192
602	44240	29126
603	44329	29063
604	44410	28995
605	44487	28924
606	44564	28853
607	44653	28790
608	44736	28722
609	44800	28643
610	44882	28575
611	44947	28496
612	45013	28418
613	45085	28343
614	45148	28263
615	45209	28182
616	45274	28103
617	45341	28026
618	45412	27952
619	45479	27874
620	45553	27801
621	45629	27729
622	45701	27655
623	45771	27580
624	45832	27499
625	45898	27421
626	45970	27347
627	46031	27266
628	46093	27186
629	46157	27108
630	46222	27030
631	46288	26952
632	46350	26872
633	46425	26801
634	46503	26730
635	46563	26649
636	46626	26570
637	46696	26495
638	46774	26425
639	46860	26359
640	46933	26285
641	47011	26214
642	47081	26140
643	47154	26066
644	47219	25988
645	47291	25915
646	47353	25835
647	47422	25760
648	47495	25687
649	47566	25612
650	47646	25543
651	47752	25487
652	47827	25415
653	47896	25339
654	47980	25272
655	48056	25200
656	48127	25126
657	48206	25055
658	48277	24981
659	48346	24905
660	48409	24827
661	48473	24749
662	48542	24673
663	48608	24597
664	48684	24525
665	48757	24451
666	48831	24379
667	48917	24312
668	48994	24241
669	49067	24167
670	49140	24094
671	49219	24023
672	49302	23955
673	49370	23879
674	49431	23800
675	49495	23722
676	49558	23644
677	49628	23569
678	49696	23494
679	49821	23445
680	49930	23388
681	50005	23316
682	50071	23239
683	50141	23164
684	50208	23088
685	50275	23012
686	50340	22935
687	50419	22864
688	50487	22789
689	50623	22743
690	50764	22700
691	50915	22661
692	50984	22586
693	51109	22535
694	51236	22484
695	51350	22429
696	51437	22360
697	51529	22294
698	51613	22225
699	51698	22156
700	51819	22102
